69.55,90.06401169357895,110.5780233871579,131.09203508073685,151.6060467743158,172.12005846789472,192.63407016147366,213.1480818550526,233.66209354863153,254.17610524221047,274.69011693578943,295.20412862936837,315.7181403229473,336.23215201652624,356.7461637101052,377.2601754036841,397.77418709726305,418.288198790842,438.8022104844209,459.31622217799986
129872,130521,130796,130829,129558,129776,129829,130196,130181,130021,130614,130733,129939,129568,130244,130102,129673,130116,129763,130383
130023,129955,130265,129804,129801,130076,129850,129850,130211,130403,129995,129625,129848,130119,129344,129798,129626,130243,130515,129862
129892,129742,129713,130019,129642,130123,129254,130472,130332,129936,129419,130015,130240,129965,130115,130054,129519,130127,129869,130135
130540,129596,130680,130136,130218,129962,130335,130015,129927,129874,130237,130297,130004,130427,130169,130506,129681,130294,130031,129798
129878,130152,129850,130419,130565,129929,130430,130731,129606,129918,129657,130428,129394,129720,130214,130014,130233,130171,129302,130093
130132,130248,130227,129668,130049,129727,130311,129803,129749,129836,129904,130364,129526,129786,130004,130029,130082,130666,130377,130212
130078,129761,130243,129669,130379,130271,130396,130025,129905,130041,130007,129832,129790,129502,129882,129884,129855,130045,129321,129861
129742,130412,130200,130284,129759,130222,130288,130000,130100,129920,130118,130565,130072,130238,130521,130116,129677,130521,130295,129820
130140,129807,129908,129652,129809,130160,130421,130259,129890,129757,129673,130084,129915,130759,129614,130467,130382,130472,129850,130383
129930,129717,130282,130146,130502,130292,129546,130156,129610,129563,130062,130000,129635,129360,129703,130267,129734,130181,129962,130141
130366,130123,129873,130124,130119,130010,129614,130037,130280,130231,130103,130148,129607,130167,130280,129622,130298,130114,129766,130085
129906,129865,129626,130579,130235,130176,130046,129840,130071,130365,129463,129704,129306,130007,130404,130019,129541,130336,130153,130003
129934,130362,129631,130339,130170,130401,130306,130179,130293,129996,129839,130093,130264,129862,129943,130244,130183,129785,130211,129775
129995,130344,130082,129248,129545,130044,129931,129837,129861,130384,129626,129842,130145,130380,130388,130183,130078,129508,130523,129960
129929,129631,130020,130392,129073,129672,129920,130271,129910,130283,130142,129730,130789,130039,130137,130247,130026,130267,130405,129860
129699,130485,129840,129617,130136,130030,130574,129643,129522,130000,129385,130282,129933,129702,129851,129350,130241,130196,130338,130476
130137,129921,129855,129646,130644,130178,130438,129386,130216,129718,130248,130066,129714,129852,130436,129527,129951,130114,129749,128789
130328,130471,131239,130141,129899,129766,129590,130329,130192,129994,129997,130141,130578,129698,129573,130389,130236,130012,129760,130114
130431,129817,130179,130650,129792,129617,130356,130031,130494,130113,130253,130396,129870,130413,129531,129635,130037,130212,130559,129432
129834,130076,130337,130256,129619,130013,129430,130343,129494,130297,129894,130411,130621,129723,129556,129778,129274,129992,129768,129636
129561,130037,130142,129919,130352,129634,129729,129611,129669,130281,130496,129870,130041,129768,130074,130338,130410,130390,129856,129763
130296,129945,130042,129908,129661,129942,129304,130511,130145,130448,130674,130040,129636,129587,129911,129766,129849,130077,129666,129802
130188,129638,130156,129760,130117,129764,129945,130262,130106,130306,129813,129797,130064,129780,129928,130127,129965,129765,130139,130363
129022,129961,130108,130353,130311,130067,129922,130339,130403,129773,129475,129719,130643,129849,130288,130338,130190,130194,130956,130455
130231,129554,130516,129119,130217,129950,129843,130167,130146,129910,129883,129950,129810,130259,130320,129571,130128,129660,130520,130016
130147,130770,129756,129476,129554,130172,130634,129679,130373,130007,129972,130263,130035,129934,129955,130605,130214,129832,129789,129590
129592,129744,129957,129630,129664,129944,130191,130137,130226,129867,130262,130409,129706,129983,130098,130058,130226,130650,130086,129200
130028,129769,129983,129874,130087,129962,129341,129450,130183,129973,130642,129683,130168,130032,129913,130361,130400,129555,129968,130333
130340,130193,130100,130323,130107,130612,129965,130477,129473,130119,130571,130415,130286,130098,130029,130442,130149,130201,129904,130189
129774,130617,129944,130277,129758,130062,130114,130461,129951,130105,130390,129395,129984,130197,129402,130528,129862,130176,130305,129966
130072,129514,130097,130468,130022,129542,130522,129384,130129,129639,130167,129935,130207,130399,130211,129460,130082,129267,130010,129933
130239,130169,130000,129908,130362,130078,130444,130309,129890,130065,129766,130075,129842,129771,130110,129334,130119,130332,130363,129710
130333,130273,130488,129772,129981,130137,129907,129997,129898,130554,129913,129868,129882,130172,129953,129762,129478,129763,129870,129947
129826,129524,130279,129479,130165,130416,130112,129570,129407,130505,130110,130382,130304,129626,130590,129654,129866,130317,130573,129732
130044,130362,130340,129858,130358,130110,130078,129678,129803,130363,130373,129930,129543,130248,130494,129982,130020,129767,130384,130541
130104,129453,130062,130020,129665,130169,130395,129817,130429,129920,129861,130068,130205,130401,129700,130000,129842,130234,129810,130149
130097,130596,130217,129695,129743,129945,129760,130279,130293,130855,130056,130112,129927,130503,129881,130133,129181,129614,129833,129449
